pond_id,province,regency,weight,days,ADG
27402,,,680.0,45,15.11111111111111
25603,,,190.0,33,5.757575757575758
27475,,,160.0,44,3.6363636363636362
24020,,,300.0,62,4.838709677419355
24758,,,1497.0,117,12.794871794871796
23695,,,102.25,58,1.7629310344827587
21226,,,75.0,34,2.2058823529411766
21221,,,150.0,39,3.8461538461538463
21225,,,0.0,33,0.0
18386,,,5623.28,71,79.20112676056338
18387,,,7579.97,69,109.85463768115942
18388,,,4545.71,61,74.51983606557377
18390,,,5272.48,65,81.11507692307691
18391,,,4641.39,61,76.08836065573772
18393,,,482.98,61,7.917704918032787
18348,,,11521.86,69,166.98347826086956
18349,,,9161.29,66,138.80742424242425
18352,,,9041.36,67,134.94567164179105
18353,,,10063.0,68,147.98529411764707
18350,,,3287.01,63,52.17476190476191
18354,,,7059.74,63,112.05936507936508
18355,,,5875.57,59,99.58593220338983
18356,,,2690.79,63,42.71095238095238
18357,,,4505.16,63,71.51047619047618
18394,,,117.11,67,1.747910447761194
18397,,,805.81,64,12.59078125
28053,,,85.0,53,1.6037735849056605
19373,,,250.0,77,3.2467532467532467
24759,,,939.0,105,8.942857142857143
21234,,,991.03,83,11.94012048192771
19381,,,390.0,66,5.909090909090909
20731,,,886.3,63,14.068253968253968
27104,,,4738.47,71,66.73901408450705
26291,,,1361.22,123,11.066829268292683
23710,,,153.0,56,2.732142857142857
28946,,,843.64,92,9.17
28948,,,1047.24,92,11.38304347826087
28950,,,687.26,82,8.381219512195122
28942,,,1277.41,92,13.884891304347827
28948,,,1216.8,101,12.047524752475248
28945,,,1107.48,84,13.184285714285714
1,,,811.45,79,10.271518987341773
4,,,1942.0299999999997,80,24.275374999999997
28860,,,7169.5,82,87.4329268292683
9986,,,5656.45,76,74.42697368421052
30344,,,13.0,67,0.19402985074626866
30343,,,9.0,64,0.140625
30345,,,37.0,71,0.5211267605633803
30386,,,847.0,98,8.642857142857142
5,,,1378.55,95,14.511052631578947
6,,,195.35,62,3.1508064516129033
7,,,356.85,62,5.755645161290323
8,,,308.5,58,5.318965517241379
30609,,,2242.79,78,28.75371794871795
30607,,,1352.95,75,18.039333333333335
30608,,,961.0,75,12.813333333333333
30610,,,1574.8,58,27.151724137931033
30606,,,372.4,78,4.774358974358974
20106,,,4940.41,99,49.90313131313131
20107,,,2539.94,57,44.56035087719298
20109,,,1806.4,57,31.69122807017544
27258,,,3149.15,75,41.98866666666667
12664,,,755.7,93,8.125806451612904
30752,,,175.0,56,3.125
30786,,,3600.0,63,57.142857142857146
30787,,,1906.0,50,38.12
